(Board = {boardPrevDestX: 0, boardPrevDestY: 1, boardCurX: 0, boardCurY: 0, boardDestX: 0, boardDestY: 0, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 0, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 1, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 0, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 6, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 0, boardYNet12: 0, boardYNet13: 1, boardYNet14: 1, boardYNet15: 0, boardYNet21: 0, boardYNet22: 0, boardYNet23: 1, boardYNet24: 0, boardYNet31: 0, boardYNet32: 0, boardYNet33: 0, boardYNetOutput1: 0}, Env = {envTarX: 5, envTarY: 6, envTimer: 10, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 6, boardPrevDestY: 2, boardCurX: 3, boardCurY: 2, boardDestX: 0, boardDestY: 2, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 6, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 0, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 1, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 0, boardYNet11: 2, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 2, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 2, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 4}, Env = {envTarX: 6, envTarY: 6, envTimer: 10, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 6, boardPrevDestY: 2, boardCurX: 2, boardCurY: 2, boardDestX: 0, boardDestY: 2, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 6, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 0, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 1, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 0, boardYNet11: 2, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 2, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 2, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 4}, Env = {envTarX: 6, envTarY: 6, envTimer: 9, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 6, boardPrevDestY: 2, boardCurX: 1, boardCurY: 2, boardDestX: 0, boardDestY: 2, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 6, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 0, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 1, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 0, boardYNet11: 2, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 2, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 2, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 4}, Env = {envTarX: 6, envTarY: 6, envTimer: 8, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 6, boardPrevDestY: 2, boardCurX: 0, boardCurY: 2, boardDestX: 0, boardDestY: 2, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 6, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 0, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 1, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 0, boardYNet11: 2, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 2, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 2, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 4}, Env = {envTarX: 6, envTarY: 6, envTimer: 7, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 2, boardCurX: 0, boardCurY: 3, boardDestX: 0, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 0, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 1, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 0, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 6, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 2, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 0, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 0, boardYNet33: 0, boardYNetOutput1: 4}, Env = {envTarX: 6, envTarY: 6, envTimer: 6, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 2, boardCurX: 0, boardCurY: 4, boardDestX: 0, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 0, boardXNet12: 0, boardXNet13: 0, boardXNet14: 0, boardXNet15: 3, boardXNet21: 0, boardXNet22: 1, boardXNet23: 1, boardXNet24: 0, boardXNet31: 0, boardXNet32: 0, boardXNet33: 1, boardXNet34: 0, boardXNet41: 0, boardXNet42: 6, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 2, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 0, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 0, boardYNet33: 0, boardYNetOutput1: 4}, Env = {envTarX: 6, envTarY: 6, envTimer: 5, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 1, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 4, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 2, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 3, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 3, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 2, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 4, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 1, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 5, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 0, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 6, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: False, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 10, envTreeX: [2, 5], envTreeY: [2, 5]})
(Board = {boardPrevDestX: 0, boardPrevDestY: 4, boardCurX: 6, boardCurY: 4, boardDestX: 6, boardDestY: 4, boardDir: 1, boardVictory: True, boardXNet11: 6, boardXNet12: 6, boardXNet13: 0, boardXNet14: 3, boardXNet15: 0, boardXNet21: 6, boardXNet22: 0, boardXNet23: 0, boardXNet24: 1, boardXNet31: 6, boardXNet32: 1, boardXNet33: 0, boardXNet34: 1, boardXNet41: 6, boardXNet42: 0, boardXNet43: 0, boardXNetOutput1: 6, boardYNet11: 4, boardYNet12: 0, boardYNet13: 0, boardYNet14: 1, boardYNet15: 0, boardYNet21: 4, boardYNet22: 1, boardYNet23: 1, boardYNet24: 0, boardYNet31: 4, boardYNet32: 1, boardYNet33: 0, boardYNetOutput1: 6}, Env = {envTarX: 6, envTarY: 6, envTimer: 9, envTreeX: [2, 5], envTreeY: [2, 5]})
